mc_step,rho_C,L_CD
1378,0.8669,1606
1379,0.0681,736
1380,0.8663,1634
1381,0.0689,720
1382,0.8659,1736
1383,0.0674,680
1384,0.8665,1658
1385,0.0654,668
1386,0.8725,1556
1387,0.0671,698
1388,0.8701,1548
1389,0.0666,696
1390,0.8681,1650
1391,0.0652,664
1392,0.8725,1582
1393,0.0652,666
1394,0.8679,1650
1395,0.0651,678
1396,0.8693,1628
1397,0.0672,716
1398,0.8668,1646
1399,0.0666,684
1400,0.871,1530
1401,0.0671,714
1402,0.8696,1524
1403,0.0673,654
1404,0.8675,1678
1405,0.0663,674
1406,0.8685,1660
1407,0.0673,662
1408,0.8688,1648
1409,0.0669,712
1410,0.8698,1618
1411,0.0672,720
